date_local,CO,CO_percent,NO2,NO2_percent,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,OZONE,PM2.5,Number,Category_Name,Ozone,AQI_Category
2015-04-25,23.0,96.0,23.0,96.0,287.49125,284.04791666666665,287.0779166666667,286.8845833333333,288.02500000000003,1014.5,80.29166666666667,6.035833333333334,264.25,,1.1016666666666666,,,,80.04166666666667,36.0,22.0,1.0,Good,,
2015-04-26,23.0,96.0,23.0,96.0,288.03291666666667,282.90708333333333,287.4591666666667,287.33250000000004,288.8029166666667,1018.2916666666666,72.08333333333333,6.120833333333334,297.125,,,,,,17.916666666666668,32.0,19.0,1.0,Good,,
2015-04-27,24.0,100.0,23.0,96.0,290.65833333333336,286.53916666666663,290.49625,289.76625,291.56333333333333,1016.7916666666666,77.79166666666667,3.3520833333333333,275.7916666666667,,,,,,28.791666666666668,24.0,30.0,1.0,Good,,
2015-04-28,24.0,100.0,23.0,96.0,288.8545833333333,286.41125,288.72291666666666,287.98,289.6745833333334,1016.5416666666666,85.875,4.935,275.375,,,,,,67.08333333333333,35.0,34.0,1.0,Good,,
2015-04-29,24.0,100.0,23.0,96.0,288.97125,285.34791666666666,288.695,287.99875000000003,289.8558333333333,1015.875,79.83333333333333,4.474166666666666,280.25,,,,,,36.708333333333336,33.0,58.0,1.5,Good,,
2015-04-30,24.0,100.0,23.0,96.0,291.6166666666667,285.63666666666666,291.37125,290.64666666666665,292.5745833333333,1011.625,71.125,2.1879166666666667,225.83333333333337,,,,,,3.4166666666666665,41.0,54.0,1.5,Good,,
2015-05-01,24.0,100.0,23.0,96.0,293.09583333333336,287.55458333333337,293.04625,292.07625,294.0941666666667,1010.0,71.91666666666667,2.8225,259.7083333333333,,,,,,7.375,42.0,62.0,1.5,Good,,
2015-05-02,23.0,96.0,23.0,96.0,288.0,285.2716666666667,287.7495833333333,287.3016666666667,288.64958333333334,1011.7916666666666,84.625,3.13125,236.04166666666663,,,,,,36.75,44.0,54.0,1.5,Good,,
2015-05-03,24.0,100.0,23.0,96.0,286.7708333333333,284.3583333333333,286.42625000000004,286.2675,287.28291666666667,1011.625,85.70833333333333,3.8708333333333336,236.91666666666663,,,,,,61.0,44.0,34.0,1.0,Good,,
2015-05-04,24.0,100.0,23.0,96.0,286.22208333333333,283.5120833333333,285.7758333333333,285.68458333333336,286.78916666666663,1013.6666666666666,83.91666666666667,4.199166666666667,259.0,,,,,,75.25,40.0,42.0,1.0,Good,,
2015-05-05,22.0,92.0,22.0,92.0,287.00708333333336,283.94541666666663,286.59708333333333,286.24791666666664,287.74916666666667,1013.9583333333334,82.29166666666667,4.810833333333333,266.1666666666667,,,,,,37.79166666666666,36.0,55.0,1.5,Good,,
2015-05-06,24.0,100.0,23.0,96.0,287.96083333333337,283.36708333333337,287.4475,287.14833333333337,288.76666666666665,1011.7083333333334,74.66666666666667,4.67,285.8333333333333,,,,,,34.625,33.0,57.0,1.5,Good,,
2015-05-07,23.0,96.0,23.0,96.0,288.5145833333333,282.15791666666667,287.86708333333337,287.6425,289.38916666666665,1008.0833333333334,67.41666666666667,4.198333333333333,293.75,,,,,,13.958333333333334,32.0,59.0,1.5,Good,,
2015-05-08,24.0,100.0,23.0,96.0,288.1504166666667,283.84708333333333,287.7133333333333,287.52958333333333,288.78791666666666,1009.4166666666666,76.875,2.5341666666666667,217.66666666666663,,,,,,33.291666666666664,35.0,61.0,1.5,Good,,
